Date Time,Vol A,Vol B,Vol C,Cur A,Cur B,Cur C,KW Total,KVAR Total,PF,Hz,KWH Total
2026-02-26 12:56:23,396.34,396.59,397.11,396.42,397.05,47.83,77.27,20.63,43.68,49.96,0.9
2026-02-26 12:56:38,396.92,396.24,396.74,56.28,78.84,49.28,37.99,18.7,0.9,49.96,1315816.88
2026-02-26 12:57:28,0.0,395.52,0.0,0.0,395.56,56.08,40.28,90.72,40.74,19.61,1315817.38
2026-02-26 12:57:41,396.21,395.53,396.41,69.46,90.88,49.29,43.17,20.67,0.9,49.96,1315817.5
2026-02-26 12:58:31,395.54,395.12,396.03,90.11,92.34,50.61,46.89,21.53,0.91,49.97,1315818.12
2026-02-26 12:58:44,395.55,395.01,396.02,86.28,92.68,50.71,47.69,21.58,0.91,49.97,1315818.25
2026-02-26 12:59:34,395.13,394.68,395.28,72.18,79.89,51.32,42.07,19.39,0.91,49.97,1315818.88
2026-02-26 12:59:46,395.09,393.56,395.13,60.34,126.53,51.16,48.5,23.76,0.9,49.98,1315819.0
2026-02-26 13:00:37,395.42,394.11,395.03,60.03,95.37,59.34,44.44,20.32,0.91,49.96,1315819.62
2026-02-26 13:00:49,395.23,394.0,394.91,59.92,94.63,59.73,47.37,23.81,0.89,49.97,1315819.75
2026-02-26 13:01:40,395.12,394.07,394.62,61.18,91.54,64.26,45.52,19.13,0.92,49.96,1315820.38
2026-02-26 13:01:52,394.7,393.69,394.17,61.0,91.68,64.4,45.5,19.08,0.92,49.95,1315820.5
2026-02-26 13:02:42,394.17,392.79,393.68,61.61,106.84,66.33,49.17,20.05,0.93,49.95,1315821.12
2026-02-26 13:02:55,393.72,392.61,393.54,72.52,106.26,66.44,51.47,21.01,0.93,49.95,1315821.5
2026-02-26 13:03:45,393.29,393.29,393.14,393.14,107.04,107.04,52.45,52.45,0.93,0.93,1315822.25
2026-02-26 13:03:58,393.29,392.21,393.2,77.33,106.71,66.2,52.61,21.07,0.93,49.95,1315822.38
2026-02-26 13:04:49,392.84,392.84,392.99,393.08,90.84,113.08,56.1,56.1,0.93,0.93,1315823.12
2026-02-26 13:05:04,393.01,391.77,393.18,91.18,123.46,62.43,58.26,23.33,0.93,49.96,1315823.38
2026-02-26 13:05:51,392.39,392.39,392.7,392.7,123.78,123.78,58.08,58.08,0.93,23.21,49.95
2026-02-26 13:06:07,392.67,391.47,393.37,90.62,120.82,45.47,53.72,22.22,0.92,49.96,1315824.38
2026-02-26 13:06:54,397.62,397.62,397.97,395.95,78.56,121.33,51.81,51.81,0.92,22.13,49.96
2026-02-26 13:07:13,397.64,396.01,398.0,78.94,121.25,46.33,51.95,22.09,0.92,50.01,1315825.38
2026-02-26 13:07:58,395.82,395.82,0.0,396.52,117.27,117.24,52.7,52.7,0.92,0.92,1315826.0
